"Area","MTU","Solar - Actual Aggregated [MW] (D - 1)","Solar - Actual Aggregated [MW] (D)"
"BZN|ES","05.01.2024 04:30 - 05.01.2024 04:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 04:45 - 05.01.2024 05:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 05:00 - 05.01.2024 05:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 05:15 - 05.01.2024 05:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 05:30 - 05.01.2024 05:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 05:45 - 05.01.2024 06:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 06:00 - 05.01.2024 06:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 06:15 - 05.01.2024 06:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 06:30 - 05.01.2024 06:45 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 06:45 - 05.01.2024 07:00 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 07:00 - 05.01.2024 07:15 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 07:15 - 05.01.2024 07:30 (CET/CEST)","8","36"
"BZN|ES","05.01.2024 07:30 - 05.01.2024 07:45 (CET/CEST)","8","12"
"BZN|ES","05.01.2024 07:45 - 05.01.2024 08:00 (CET/CEST)","8","8"
"BZN|ES","05.01.2024 08:00 - 05.01.2024 08:15 (CET/CEST)","8","8"
"BZN|ES","05.01.2024 08:15 - 05.01.2024 08:30 (CET/CEST)","12","12"
"BZN|ES","05.01.2024 08:30 - 05.01.2024 08:45 (CET/CEST)","16","16"
"BZN|ES","05.01.2024 08:45 - 05.01.2024 09:00 (CET/CEST)","56","80"
"BZN|ES","05.01.2024 09:00 - 05.01.2024 09:15 (CET/CEST)","292","400"
"BZN|ES","05.01.2024 09:15 - 05.01.2024 09:30 (CET/CEST)","816","1164"
"BZN|ES","05.01.2024 09:30 - 05.01.2024 09:45 (CET/CEST)","1684","2416"
"BZN|ES","05.01.2024 09:45 - 05.01.2024 10:00 (CET/CEST)","2784","3928"
"BZN|ES","05.01.2024 10:00 - 05.01.2024 10:15 (CET/CEST)","3848","5616"
"BZN|ES","05.01.2024 10:15 - 05.01.2024 10:30 (CET/CEST)","5108","7084"
"BZN|ES","05.01.2024 10:30 - 05.01.2024 10:45 (CET/CEST)","5984","8456"
"BZN|ES","05.01.2024 10:45 - 05.01.2024 11:00 (CET/CEST)","6800","9556"
"BZN|ES","05.01.2024 11:00 - 05.01.2024 11:15 (CET/CEST)","7480","10256"
"BZN|ES","05.01.2024 11:15 - 05.01.2024 11:30 (CET/CEST)","7864","10692"
"BZN|ES","05.01.2024 11:30 - 05.01.2024 11:45 (CET/CEST)","8404","10956"
"BZN|ES","05.01.2024 11:45 - 05.01.2024 12:00 (CET/CEST)","8768","11148"
"BZN|ES","05.01.2024 12:00 - 05.01.2024 12:15 (CET/CEST)","8820","11364"
"BZN|ES","05.01.2024 12:15 - 05.01.2024 12:30 (CET/CEST)","8920","11596"
"BZN|ES","05.01.2024 12:30 - 05.01.2024 12:45 (CET/CEST)","8960","11524"
"BZN|ES","05.01.2024 12:45 - 05.01.2024 13:00 (CET/CEST)","8992","11624"
"BZN|ES","05.01.2024 13:00 - 05.01.2024 13:15 (CET/CEST)","9116","11740"
"BZN|ES","05.01.2024 13:15 - 05.01.2024 13:30 (CET/CEST)","8764","11636"
